vin,model_version_id,marker_name,int_value,decimal_value,text_value,datetime_active_from,datetime_active_until,report_dt,ctl_loading,market_price,year_production,engine_power,max_recorded_mileage,market_prices_accidents_count,registration_actions_count,brand,weight_max,model,engine_volume,weight_netto,engine_model,has_pts_duplicate,body_style,owner_types_count,body_color,drive_type,reg_action_types_count,used_in_taxi,shap_year_production,shap_engine_power,shap_max_recorded_mileage,shap_market_prices_accidents_count,shap_registration_actions_count,shap_brand,shap_weight_max,shap_model,shap_engine_volume,shap_weight_netto,shap_engine_model,shap_has_pts_duplicate,shap_body_style,shap_owner_types_count,shap_body_color,shap_drive_type,shap_reg_action_types_count,shap_used_in_taxi,shap_sum,expected_value,shap_diff,datetime_published
JMBXTGK1WJZ015571,349653,ER01,,2093071.7460846007,,2026-07-01,2026-07-30,2026-06-30,171218714,2093071.7460846007,2018,150.0,96252.0,0,0,14,1850,140133,1499.0,1410,1,0,1,0,1,1,0,0,57368.47465984621,-122116.24371076928,46722.988796900914,112254.32355781201,-70721.36169141333,129178.20456047048,36030.85191904938,-3436.317200341015,35777.21123313033,47266.89640355301,22420.375404321632,-61552.06776769994,-7766.429357986125,-13931.888584997341,-157.29288397930856,6311.393509639514,69183.92755029132,7281.517118633671,290114.56351646216,-0.6924318616225875,1802957.8750000002,2026-06-30
JMB0RV430PJ001430,349653,ER01,,610731.4620963633,,2026-07-01,2026-07-30,2026-06-30,171218714,610731.4620963633,1993,150.0,220000.0,0,0,14,2810,140005,2550.0,2185,179,0,2,0,2,2,0,0,25898.580336338367,-1427130.454561797,45767.924291423966,62953.78531154986,-22535.100678612387,111207.6519538676,-3245.8634513545903,-10372.659677275298,-22807.51503296644,-216548.40771660453,-72799.5077800214,278654.8261466763,5179.575152769813,30005.085734591223,-816.6371836436562,8303.398342448798,11684.75893578324,4374.839405050193,-1192225.7204717756,-0.6924318616225875,1802957.8750000005,2026-06-30
JMBXTCW4WAZ002546,349653,ER01,,1398235.4792967718,,2026-07-01,2026-07-30,2026-06-30,171218714,1398235.4792967718,2010,147.0,150099.0,0,0,14,2290,140001,1998.0,1540,31,0,1,0,2,2,0,0,51646.01728863407,-970479.8646522266,44466.43347207406,36191.35431266143,80473.22188608098,94642.47631133479,45068.58585984493,1650.6349495252673,52633.406766348904,-38371.34963222171,1306.0708673853678,119494.61196408086,4591.253190641993,16386.812166948912,4531.338923163614,9276.22754788553,36449.795654735884,5321.269851736106,-404721.7032713657,-0.6924318616225875,1802957.874999999,2026-06-30
JMBSTCY3A8U005788,349653,ER01,,819035.7319680136,,2026-07-01,2026-07-30,2026-06-30,171218714,819035.7319680136,2008,143.0,209025.0,0,0,14,1850,140002,1798.0,1410,59,0,2,0,2,1,0,0,49110.68685574552,-1018196.0995314645,36776.56580103837,22958.398471348264,-41852.6850103622,69742.7086742638,38400.32317366561,-93.58744224022661,6340.144684797117,-119792.1371607102,-11694.528693146529,-41084.98686758398,-10475.464610819077,-15386.608284078238,212.8349699153773,5579.747061553635,41194.5073277209,4338.729980230839,-983921.4506001257,-0.6924318616225875,1802957.875000001,2026-06-30
JMBLRCS3W7U001520,349653,ER01,,718410.3351349235,,2026-07-01,2026-07-30,2026-06-30,171218714,718410.3351349235,2007,98.0,209025.0,0,0,14,1750,140002,1584.0,1320,112,0,1,0,2,1,0,0,58736.21307045459,-934919.3789619104,32016.403807182094,10123.622957887546,-23276.065306049994,-125413.41560341475,31493.753414357903,2275.8624002988768,-10080.889877873617,-104147.38834737647,1845.826092696981,-59251.44431651018,3139.978144722718,-10793.738182738825,-2182.0236508172875,5446.099730006665,35954.833058634584,4484.904137235472,-1084546.8474332143,-0.6924318616225875,1802957.8749999993,2026-06-30
JMBSRCS3A6U015533,349653,ER01,,607547.3945522904,,2026-07-01,2026-07-30,2026-06-30,171218714,607547.3945522904,2006,98.0,209025.0,0,0,14,1750,140002,1584.0,1260,115,0,2,0,2,1,0,0,47292.3919979727,-1023665.3216416829,31986.07702731743,23270.95312528232,-24990.45369870406,-126436.21373597333,26263.807864639028,-5538.651285733323,-6290.664131111155,-104627.65572767792,-8772.024625122887,-58640.71002121036,2669.1871214062526,-10414.094067715743,-1611.9027913504915,4833.160671164804,35027.27224880701,4235.053653844837,-1195409.788015848,-0.6924318616225875,1802957.875,2026-06-30
Z8TXTGF2WHM008449,349653,ER01,,1777485.6969481688,,2026-07-01,2026-07-30,2026-06-30,171218714,1777485.6969481688,2016,146.0,96252.0,0,0,14,1985,140001,1998.0,1560,31,0,1,0,1,1,0,0,56797.840793745265,-499106.2812595206,43854.61307097198,31432.83168220154,86928.82901161224,96955.0277172738,9709.570354855292,-842.0351067932412,61277.584599341506,34213.83788418444,-6867.950341538476,32426.383316944728,21142.65864257906,-8208.796357272298,-3261.481109067398,8959.495109366846,2989.240549284453,6127.145821859984,-25471.485619970867,-0.6924318616225875,1802957.8750000014,2026-06-30
JMBSRCY1AEU004696,349653,ER01,,1028753.7010034621,,2026-07-01,2026-07-30,2026-06-30,171218714,1028753.7010034621,2014,117.0,150099.0,0,0,14,1750,140002,1590.0,1350,95,0,2,0,1,1,0,0,64510.572958679186,-628926.4816725886,35382.37012444398,33818.0637471147,-8182.6043931951635,-115719.41582581107,21034.615301677488,-7496.3323655999675,1456.2306832497231,-73669.00533337939,-5944.635237525477,-69750.77574410324,-17585.177894857406,-17479.800147484784,-6357.107402884025,5462.464557262212,9532.650165485487,5710.886914840177,-774203.4815646762,-0.6924318616225875,1802957.875,2026-06-30
JMBXTGA3WBZ004045,349653,ER01,,1067340.3408862632,,2026-07-01,2026-07-30,2026-06-30,171218714,1067340.3408862632,2010,140.0,150099.0,0,0,14,1870,140003,1798.0,1400,95,0,1,0,2,1,0,0,60187.47814289904,-884487.5379940079,38175.510601165865,50772.13873792225,-33019.896407824024,144.61335215924439,44381.771370569724,294.3502281387942,12259.328277651357,-48548.81594571931,-130.49081766400963,-29321.836515997293,14536.22255536816,-14491.27129438766,-949.6542688336198,6758.888327906251,42693.60554486924,5128.754423909677,-735616.8416818741,-0.6924318616225875,1802957.874999999,2026-06-30
4MBSRDJ1A7E703901,349653,ER01,,891991.2625964284,,2026-07-01,2026-07-30,2026-06-30,171218714,891991.2625964284,2007,158.0,209025.0,0,0,14,1985,140010,2378.0,1650,293,0,2,0,2,1,0,0,39901.582404687346,-1096922.1498817445,41993.64595630873,56512.3835538137,5102.708074066521,130111.60762987725,29001.077303941223,4184.687438972405,-35092.28366943096,-115114.11226222815,-22678.81171595086,19557.36810261606,-1345.2886044027466,-16895.719116893182,903.3216314134867,8536.31082620923,36396.551491089675,4881.200865946169,-910965.9199717088,-0.6924318616225875,1802957.8749999988,2026-06-30
